id,sourceId,name,country,city,category,type,investor,architect,gba,gla,openingYear,scope,businessLines,status,lat,lng,coordinateAccuracy,verification,coordinateSource,geocodeMethod,inferredLocation,source,sourceDate,dataVersion
portfolio-016,16,Katara Cultural Village,Qatar,Doha,Lifestyle Centre,mall,Cultural Village Foundation,Cansult Maunsell,200000.0,119000.0,2010,Retail Strategy | Merchandise Mix | Zoning | Budgeting | RRR Strategy | Design / Architecture Advisory,Advisory,completed,25.27508,51.54146,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-017,17,Old Doha Port / Mina District,Qatar,Doha,Lifestyle Centre,mall,Cultural Village Foundation,"Erga Group, Dar Al-Handasah",800000.0,16200.0,2019,Retail Strategy | Merchandise Mix | Zoning | Budgeting | RRR Strategy | Design / Architecture Advisory,Advisory,completed,25.28697,51.51117,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-018,18,Box Park / Mina District,Qatar,Doha,Lifestyle Centre,mall,Cultural Village Foundation,"Erga Group, Dar Al-Handasah",18000.0,1300.0,2019,Retail Strategy | Merchandise Mix | Zoning | Budgeting | RRR Strategy | Design / Architecture Advisory,Advisory,completed,25.29879,51.55031,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-019,19,Qetaifan Lifestyle Centre,Qatar,Qetaifan Island / Lusail,Lifestyle Centre,mall,Qetaifan Projects Company,Atkins,15000.0,12200.0,2025,Merchandise Mix | Zoning,Advisory,completed,25.423,51.493,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-020,20,82 Mall / 82 Towers,Tajikistan,Dushanbe,Mixed-Use,mixed,SOM LLC,InterProject LLC,58000.0,36000.0,2026,Market Research | Concept Design | Retail Strategy | Merchandise Mix | Zoning | Financial Feasibility Analysis | Tenant Mix | Leasing | Design / Architecture Advisory | Management Advisory | Marketing Advisory,Advisory | Leasing & Sales | Property & Asset Management | Marketing,completed,38.5598,68.787,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-021,21,Afsona,Tajikistan,Dushanbe,Community / Neighborhood Mall,mall,N/A,InterProject LLC,22000.0,16000.0,2028,Concept Design | Retail Strategy | Merchandise Mix | Zoning | Design / Architecture Advisory,Advisory,pipeline,38.54948,68.79909,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-022,22,Airport Mall,Tajikistan,Dushanbe,Integrated / Neighbourhood Mall + Hotel,hotel,N/A,InterProject LLC,39000.0,23000.0,,Concept Design | Retail Strategy | Merchandise Mix | Zoning | Budgeting | Design / Architecture Advisory,Advisory,unknown,38.56137,68.76407,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-023,23,Central Mall,Tajikistan,Dushanbe,Regional Mall,mall,Sebiston Group LLC,Archikom LLC,44000.0,16700.0,2026,Market Research | Concept Design | Retail Strategy | Merchandise Mix | Zoning | Financial Feasibility Analysis | Tenant Mix | Leasing | Design / Architecture Advisory | Management Advisory | Marketing Advisory,Advisory | Leasing & Sales | Property & Asset Management | Marketing,completed,38.57319,68.80933,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-024,24,Deniz Restaurant @82 Mall,Tajikistan,Dushanbe,Restaurant,other,Doniyor Sadikov,Reventt LLC,1450.0,1450.0,2027,Concept Design | Zoning,Advisory,pipeline,38.5342,68.78121,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-025,25,Dushanbe International Airport,Tajikistan,Dushanbe,Airport,other,N/A,InterProject LLC,12000.0,12000.0,2027,Concept Design | Zoning | Design / Architecture Advisory,Advisory,pipeline,38.58511,68.7664,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-026,26,Dushanbe Towers,Tajikistan,Dushanbe,Mixed-Use,mixed,Binokori Shark LLC,Ark Sinon LLC,36000.0,27000.0,2029,Market Research | Concept Design | Retail Strategy | Merchandise Mix | Zoning | Design / Architecture Advisory | Marketing Advisory,Advisory | Marketing,pipeline,38.55097,68.82898,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-027,27,Eftalit,Tajikistan,Dushanbe,Business Centre,office,Savr LLC,"InterProject LLC, Yekalon",21000.0,15000.0,2026,Market Research | Concept Design | Retail Strategy | Merchandise Mix | Zoning | Financial Feasibility Analysis | Design / Architecture Advisory | Management Advisory,Advisory | Property & Asset Management,completed,38.54229,68.74388,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-028,28,Gissar Mall,Tajikistan,Gissar,Regional Mall,mall,Sebiston Group LLC,"InterProject LLC, Archikom LLC",33000.0,16800.0,2026,Market Research | Concept Design | Retail Strategy | Merchandise Mix | Zoning | Financial Feasibility Analysis | Tenant Mix | Leasing | Design / Architecture Advisory | Management Advisory | Marketing Advisory,Advisory | Leasing & Sales | Property & Asset Management | Marketing,completed,38.5231,68.5306,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-029,29,Grafik,Tajikistan,Dushanbe,Office / commercial building,office,Grafik LLC,Loyikhakash LLC,7500.0,4486.0,2026,Market Research | Concept Design | Retail Strategy | Merchandise Mix | Zoning | Design / Architecture Advisory | Marketing Advisory,Advisory | Marketing,completed,38.59925,68.80544,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-030,30,Intercontinental Opera Hotel & Commercial Tower,Tajikistan,Dushanbe,Mixed-use,mixed,Savr LLC,Benoy,32000.0,22000.0,2028,Market Research | Concept Design Review | Retail Strategy | Merchandise Mix | Zoning | Financial Feasibility Analysis | Design / Architecture Advisory,Advisory,pipeline,38.51728,68.80943,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-031,31,Iskandarkul Four Seasons Resort,Tajikistan,Ayni (Iskandarkul),Resort Hotel,hotel,Saidmurod Davlatov,Reventt LLC,35000.0,29900.0,2028,Market Research | Concept Design | Retail Strategy | Merchandise Mix | Zoning | Financial Feasibility Analysis | Design / Architecture Advisory | Management Advisory,Advisory | Property & Asset Management,pipeline,39.0776,68.3622,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-032,32,Iskandarkul Serenity Resort,Tajikistan,Ayni (Iskandarkul),Resort Hotel,hotel,Saidmurod Davlatov,Reventt LLC,24000.0,21000.0,2029,Market Research | Concept Design | Retail Strategy | Merchandise Mix | Zoning | Financial Feasibility Analysis | Design / Architecture Advisory | Management Advisory,Advisory | Property & Asset Management,pipeline,39.06728,68.37438,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-033,33,Navruzgoh,Tajikistan,Khujand,Park / event ground,other,Azizbek Rajabov,N/A,250000.0,80000.0,,Concept Design | Zoning | Design / Architecture Advisory,Advisory,unknown,40.2833,69.6222,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-034,34,Orien Centre,Tajikistan,Dushanbe,Community / Neighborhood Mall,mall,Orien Bank,Kamron,21000.0,3400.0,2025,Concept Design | Zoning | Design / Architecture Advisory,Advisory,completed,38.58099,68.72907,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-035,35,Outlet Village,Tajikistan,Dushanbe,Outlet village,mall,N/A,InterProject LLC,120000.0,56000.0,,Concept Design | Retail Strategy | Merchandise Mix | Zoning,Advisory,unknown,38.57596,68.85291,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-036,36,Scandinavia,Tajikistan,Dushanbe,Lifestyle Centre,mall,Sebiston Group LLC,Kokhi Memoron LLC,120000.0,52000.0,2029,Market Research | Concept Design | Retail Strategy | Merchandise Mix | Zoning | Design / Architecture Advisory | Management Advisory | Marketing Advisory,Advisory | Property & Asset Management | Marketing,pipeline,38.50962,68.74983,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-037,37,Sky Mall & Resedance,Tajikistan,Dushanbe,Community / Neighborhood Mall,mall,Shirkati Sokhitmoni Binokoron LLC,InterProject LLC,32000.0,9300.0,2027,Market Research | Concept Design | Retail Strategy | Merchandise Mix | Zoning | Design / Architecture Advisory | Interior Design | Management Advisory | Marketing Advisory,Advisory | Property & Asset Management | Marketing,pipeline,38.62035,68.76997,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-038,38,Al Ain Community Centre,UAE,Al Ain,Community / Neighborhood Mall,mall,Al Falaj Commercial Investment Company LLC,Urban Landscape UAE,6500.0,5400.0,2025,Retail Strategy | Merchandise Mix | Zoning | Budgeting | Tenant Mix | Leasing | Design / Architecture Advisory,Advisory | Leasing & Sales,completed,24.2075,55.7447,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-039,39,Fujairah Mall,UAE,Fujairah,Community / Neighborhood Mall,mall,Fujairah Mall,N/A,136000.0,35000.0,2015,Retail Strategy | Merchandise Mix | Zoning | Budgeting | Tenant Mix | Leasing | RRR Strategy,Advisory | Leasing & Sales,completed,25.1288,56.3265,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-040,40,Marinascape Mall,UAE,Dubai,Mixed-Use,mixed,Trident International Holdings,Archon Consultants,6000.0,3200.0,2008,Retail Strategy | Merchandise Mix | Zoning | Budgeting | Tenant Mix | Leasing | RRR Strategy,Advisory | Leasing & Sales,completed,25.2048,55.2708,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-041,41,Mirfa Bay,UAE,Mirfa (Abu Dhabi region),Lifestyle Centre,mall,Modon,N/A,110000.0,3300.0,2024,Retail Strategy | Merchandise Mix | Zoning | Budgeting | Tenant Mix | Leasing | RRR Strategy,Advisory | Leasing & Sales,completed,24.1136,53.4839,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-042,42,Nation Towers Mall,UAE,Abu Dhabi,Mixed-Use,mixed,International Capital Trading LLC,WZMH Architects,40000.0,19500.0,2013,Retail Strategy | Merchandise Mix | Zoning | Budgeting | Tenant Mix | Leasing | RRR Strategy,Advisory | Leasing & Sales,completed,24.4539,54.3773,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-043,43,Ribbon Mall,UAE,Dubai,Community / Neighborhood Mall,mall,Union Properties,N/A,610.0,610.0,2016,Tenant Mix | Leasing,Leasing & Sales,completed,25.19448,55.28125,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-044,44,Alpomish / Ecobozor / Atlas Mebel (Beruniy),Uzbekistan,Tashkent (Beruniy),Community / Neighborhood Mall,mall,AKFA Group (Atlas),Prime Tower LLC,75000.0,11200.0,2022,Market Research | Concept Design | Retail Strategy | Merchandise Mix | Zoning | Financial Feasibility Analysis | Tenant Mix | Leasing | Design / Architecture Advisory,Advisory | Leasing & Sales,completed,41.2995,69.2401,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-045,45,Anjir,Uzbekistan,"Kokdala, Kashkadarya region",Community / Neighborhood Mall,mall,Orzumurod Xushvaqtov,N/A,3500.0,3100.0,2026,Market Research | Concept Design | Retail Strategy | Merchandise Mix | Zoning | Design / Architecture Advisory | Marketing Advisory,Advisory | Marketing,completed,38.8667,65.8,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-046,46,Atlas Chilanzar,Uzbekistan,Tashkent,Community / Neighborhood Mall,mall,AKFA Group (Atlas),Prime Tower LLC,11500.0,9000.0,2018,Market Research | Concept Design | Retail Strategy | Merchandise Mix | Zoning | Financial Feasibility Analysis | Tenant Mix | Leasing | Design / Architecture Advisory | Management | Marketing,Advisory | Leasing & Sales | Property & Asset Management | Marketing,completed,41.2995,69.2401,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-047,47,Atlas Fergana,Uzbekistan,Fergana,Community / Neighborhood Mall,mall,AKFA Group (Atlas),Prime Tower LLC,7500.0,5500.0,2018,Market Research | Concept Design | Retail Strategy | Merchandise Mix | Zoning | Financial Feasibility Analysis | Tenant Mix | Leasing | Design / Architecture Advisory | Management | Marketing,Advisory | Leasing & Sales | Property & Asset Management | Marketing,completed,40.3842,71.7843,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-048,48,Atlas Karshi,Uzbekistan,Karshi,Community / Neighborhood Mall,mall,AKFA Group (Atlas),Prime Tower LLC,5800.0,3900.0,2018,Market Research | Concept Design | Retail Strategy | Merchandise Mix | Zoning | Financial Feasibility Analysis | Tenant Mix | Leasing | Design / Architecture Advisory | Management | Marketing,Advisory | Leasing & Sales | Property & Asset Management | Marketing,completed,38.8667,65.8,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-049,49,Atlas Samarkand,Uzbekistan,Samarkand,Community / Neighborhood Mall,mall,AKFA Group (Atlas),Prime Tower LLC,5000.0,3700.0,2018,Market Research | Concept Design | Retail Strategy | Merchandise Mix | Zoning | Financial Feasibility Analysis | Tenant Mix | Leasing | Design / Architecture Advisory | Management | Marketing,Advisory | Leasing & Sales | Property & Asset Management | Marketing,completed,39.627,66.975,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-050,50,Atlas Yunus Abad,Uzbekistan,Tashkent (Yunusabad),Community / Neighborhood Mall,mall,AKFA Group (Atlas),Prime Tower LLC,5500.0,4500.0,2018,Market Research | Concept Design | Retail Strategy | Merchandise Mix | Zoning | Financial Feasibility Analysis | Tenant Mix | Leasing | Design / Architecture Advisory | Management | Marketing,Advisory | Leasing & Sales | Property & Asset Management | Marketing,completed,41.2995,69.2401,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-051,51,Bostonliq Resort,Uzbekistan,Bostanliq (Tashkent region),Resort Hotel,hotel,UGAM RIVER RESORT LLC,Reventt LLC,13000.0,13000.0,2028,Market Research | Concept Design | Zoning | Design / Architecture Advisory | Brand Sourcing,Advisory | Leasing & Sales,pipeline,41.62,69.98,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-052,52,Carrefour Atlas Chilonzor,Uzbekistan,Tashkent,Hyper / Supermarket,mall,Majid Al Futtaim,Majid Al Futtaim,1200.0,1200.0,2020,Market Research | Retail Strategy | Zoning | Financial Feasibility Analysis | Design / Architecture Advisory | Project Management,Advisory,completed,41.28918,69.25269,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-053,53,Carrefour Atlas Yunusobod,Uzbekistan,Tashkent,Hyper / Supermarket,mall,Majid Al Futtaim,Majid Al Futtaim,850.0,850.0,2020,Market Research | Retail Strategy | Zoning | Financial Feasibility Analysis | Design / Architecture Advisory | Project Management,Advisory,completed,41.30107,69.21623,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-054,54,Carrefour Qoratosh,Uzbekistan,Tashkent,Hyper / Supermarket,mall,Majid Al Futtaim,Majid Al Futtaim,2500.0,2500.0,2020,Market Research | Retail Strategy | Zoning | Financial Feasibility Analysis | Design / Architecture Advisory | Project Management,Advisory,completed,41.31289,69.26334,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-055,55,Carrefour Hypermarket (Atlas Mebel),Uzbekistan,Tashkent,Hyper / Supermarket,mall,Majid Al Futtaim,Majid Al Futtaim,10000.0,10000.0,,Market Research | Retail Strategy | Zoning | Financial Feasibility Analysis | Design / Architecture Advisory | Project Management,Advisory,unknown,41.2739,69.23407,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-056,56,Chilonzor Mall,Uzbekistan,Tashkent,Community / Neighborhood Mall,mall,N/A,N/A,9500.0,7500.0,,Merchandise Mix | Tenant Mix | Zoning | Leasing | Design / Architecture Advisory,Advisory | Leasing & Sales,unknown,41.32481,69.21866,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-057,57,Index,Uzbekistan,Tashkent,Retail Hub,mall,AKFA Group (Atlas),Prime Tower LLC,710000.0,226700.0,2022,Retail Strategy | Design / Architecture Advisory | Zoning,Advisory,completed,41.29067,69.2838,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-058,58,"Logistika Markazi, Mirbozor",Uzbekistan,Samarkand region,Logistics Centre,warehouse,Narpay Holding LLC,Reventt LLC,32400.0,27500.0,2027,Market Research | Concept Design | Retail Strategy | Merchandise Mix | Zoning | Financial Feasibility Analysis | Design / Architecture Advisory | Management Advisory | Marketing Advisory,Advisory | Property & Asset Management | Marketing,pipeline,39.627,66.975,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-059,59,Magic City,Uzbekistan,Tashkent,Thematic Park,other,AKFA Group (Atlas),"Dome + Partners, Polin Waterparks, Sanderson, Prime Tower LLC",25000.0,19100.0,2021,Market Research | Concept Design | Retail Strategy | Merchandise Mix | Zoning | Financial Feasibility Analysis | Tenant Mix | Leasing | Design / Architecture Advisory | Management | Marketing,Advisory | Leasing & Sales | Property & Asset Management | Marketing,completed,41.28199,69.19522,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-060,60,Magnit Mall,Uzbekistan,Tashkent,Community / Neighborhood Mall,mall,N/A,N/A,6000.0,4000.0,2015,Market Research | Concept Design | Retail Strategy | Merchandise Mix | Zoning | Financial Feasibility Analysis | Design / Architecture Advisory,Advisory,completed,41.33895,69.25929,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-061,61,Margilon City Mall,Uzbekistan,Margilon,Regional Mall,mall,Steel & Protect LLC,Reventt LLC,49000.0,22000.0,2027,Concept Design | Zoning | Design / Architecture Advisory,Advisory,pipeline,40.4711,71.7247,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
portfolio-062,62,MediaPark Buyuk Ipak Yuli,Uzbekistan,Tashkent,Community / Neighborhood Mall,mall,AKFA Group (Atlas),Prime Tower LLC,3800.0,2600.0,2017,Market Research | Concept Design | Retail Strategy | Merchandise Mix | Zoning | Financial Feasibility Analysis | Tenant Mix | Leasing | Design / Architecture Advisory | Management | Marketing,Advisory | Leasing & Sales | Property & Asset Management | Marketing,completed,41.25698,69.26345,city_geocoded,needs_review,CASE Portfolio GeoJSON · city-level geocode,city,False,CASE projects list.xlsx,2026-07-20,4.9.3
