taxonomy_id,main_category,subcategory,queries_ru,queries_uz,queries_en,active
TAX-037,Транспорт и парковки,Парковка,парковка|многоуровневый паркинг|подземная парковка,avtoturargoh|ko‘p qavatli parking|yer osti parking,parking|multi-storey parking|underground parking,1
TAX-038,Транспорт и парковки,АЗС / EV charging,АЗС|заправка|зарядка электромобилей,AYoQSh|yoqilg‘i quyish|elektromobil quvvatlash,fuel station|gas station|EV charging,1
TAX-039,Промышленность и логистика,Склад / логистический центр,склад|логистический центр|distribution center|cold storage,ombor|logistika markazi|sovutkich ombor,warehouse|logistics center|distribution center|cold storage,1
TAX-040,Промышленность и логистика,Промышленная зона / завод,промышленная зона|завод|фабрика|производство,sanoat zonasi|zavod|fabrika|ishlab chiqarish,industrial zone|factory|manufacturing,1
TAX-041,Девелопмент и земельные участки,Строящийся проект,строящийся объект|новый проект|планируемый ТРЦ|планируемый ЖК,qurilayotgan obyekt|yangi loyiha|rejalashtirilgan,under construction|planned development,1
TAX-042,Девелопмент и земельные участки,Земельный участок,земельный участок|участок на продажу|greenfield|brownfield,yer uchastkasi|sotiladigan yer,land plot|site for sale|greenfield|brownfield,1
TAX-043,Коммерческие и бытовые услуги,Банк / банкомат / обмен,банк|банкомат|обмен валюты|микрофинанс,bank|bankomat|valyuta ayirboshlash|mikromoliya,bank|ATM|currency exchange|microfinance,1
TAX-044,Коммерческие и бытовые услуги,Пункт выдачи / почта / курьер,пункт выдачи|почта|курьерская служба,buyurtma topshirish punkti|pochta|kuryer,pickup point|post office|courier,1
TAX-045,Коммерческие и бытовые услуги,Автосервис,автосервис|СТО|автомойка|шиномонтаж|автосалон,avtoservis|avtoyuvish|shina montaj|avtosalon,car service|car wash|tyre service|car dealer,1
TAX-046,Коммерческие и бытовые услуги,Beauty / бытовые услуги,салон красоты|барбершоп|химчистка|прачечная|ателье,go‘zallik saloni|barbershop|kimyoviy tozalash|kir yuvish|atelye,beauty salon|barbershop|dry cleaning|laundry|tailor,1
TAX-047,Аналитические слои,Население и домохозяйства,население|плотность населения|домохозяйства,aholi|aholi zichligi|uy xo‘jaliklari,population|population density|households,1
TAX-048,Аналитические слои,Доходы и расходы,доходы|зарплата|расходы домохозяйств|покупательская способность,daromad|ish haqi|xarajat|xarid qobiliyati,income|salary|household spending|purchasing power,1
TAX-049,Аналитические слои,Трафик и catchment,автомобильный трафик|пешеходный трафик|catchment area,avtomobil oqimi|piyoda oqimi|qamrov hududi,vehicle traffic|footfall|catchment area,1
